passenger-carry, t = 0, b = 263, origin = 1, dest = 2, val = 1.0
passenger-carry, t = 52, b = 159, origin = 1, dest = 1, val = 0.19820583619410428
passenger-carry, t = 52, b = 167, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 52, b = 175, origin = 3, dest = 3, val = 0.17589176391210806
passenger-carry, t = 52, b = 245, origin = 1, dest = 0, val = 0.18324248403316848
passenger-carry, t = 52, b = 249, origin = 1, dest = 0, val = 0.15306712625430188
passenger-carry, t = 52, b = 251, origin = 0, dest = 1, val = 0.5700656926135733
passenger-carry, t = 52, b = 253, origin = 1, dest = 0, val = 0.11658898332493672
passenger-carry, t = 52, b = 253, origin = 1, dest = 1, val = 0.287266094133949
passenger-carry, t = 52, b = 257, origin = 0, dest = 1, val = 0.35689954656875394
passenger-carry, t = 52, b = 259, origin = 1, dest = 0, val = 0.12975876693789778
passenger-carry, t = 52, b = 259, origin = 1, dest = 1, val = 0.12102616110898316
passenger-carry, t = 52, b = 261, origin = 1, dest = 0, val = 0.37180502771202917
passenger-carry, t = 52, b = 263, origin = 1, dest = 0, val = 0.2789397095910503
passenger-carry, t = 52, b = 263, origin = 1, dest = 1, val = 0.46374300112708705
passenger-carry, t = 52, b = 263, origin = 2, dest = 1, val = 0.40973244920802454
passenger-carry, t = 53, b = 113, origin = 2, dest = 1, val = 0.492601323325351
passenger-carry, t = 53, b = 113, origin = 2, dest = 2, val = 0.13106985069107163
passenger-carry, t = 53, b = 119, origin = 1, dest = 1, val = 0.1334852199104619
passenger-carry, t = 53, b = 125, origin = 3, dest = 3, val = 0.17183438712816046
passenger-carry, t = 53, b = 143, origin = 1, dest = 1, val = 0.17974229924786578
passenger-carry, t = 53, b = 155, origin = 1, dest = 1, val = 0.19985171256130982
passenger-carry, t = 53, b = 157, origin = 1, dest = 1, val = 0.19820583619410428
passenger-carry, t = 53, b = 165, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 53, b = 167, origin = 2, dest = 0, val = 0.11330042107766738
passenger-carry, t = 53, b = 167, origin = 3, dest = 3, val = 0.10705128869845984
passenger-carry, t = 53, b = 195, origin = 2, dest = 0, val = 0.10262854243144867
passenger-carry, t = 53, b = 229, origin = 2, dest = 2, val = 0.24105264510229568
passenger-carry, t = 53, b = 241, origin = 3, dest = 3, val = 0.11835004896124632
passenger-carry, t = 53, b = 251, origin = 1, dest = 1, val = 0.287266094133949
passenger-carry, t = 53, b = 257, origin = 1, dest = 1, val = 0.12102616110898316
passenger-carry, t = 53, b = 261, origin = 1, dest = 1, val = 0.46374300112708705
passenger-carry, t = 53, b = 263, origin = 2, dest = 0, val = 0.6781292190743551
passenger-carry, t = 54, b = 117, origin = 1, dest = 1, val = 0.1334852199104619
passenger-carry, t = 54, b = 141, origin = 1, dest = 1, val = 0.17974229924786578
passenger-carry, t = 54, b = 145, origin = 0, dest = 0, val = 0.11030448285986838
passenger-carry, t = 54, b = 153, origin = 1, dest = 0, val = 0.11143766602952879
passenger-carry, t = 54, b = 155, origin = 1, dest = 1, val = 0.19820583619410428
passenger-carry, t = 54, b = 163, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 54, b = 165, origin = 1, dest = 0, val = 0.17589176391210806
passenger-carry, t = 54, b = 223, origin = 0, dest = 0, val = 0.8499024575913394
passenger-carry, t = 54, b = 227, origin = 1, dest = 0, val = 0.165050407663743
passenger-carry, t = 54, b = 231, origin = 0, dest = 0, val = 0.8896955171401316
passenger-carry, t = 54, b = 249, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 54, b = 255, origin = 1, dest = 0, val = 0.12102616110898316
passenger-carry, t = 54, b = 257, origin = 1, dest = 1, val = 0.3560582937760256
passenger-carry, t = 54, b = 259, origin = 1, dest = 1, val = 0.46374300112708705
passenger-carry, t = 54, b = 263, origin = 1, dest = 0, val = 0.21974490535533836
passenger-carry, t = 55, b = 115, origin = 0, dest = 2, val = 0.12222222222222003
passenger-carry, t = 55, b = 139, origin = 1, dest = 1, val = 0.17974229924786578
passenger-carry, t = 55, b = 153, origin = 1, dest = 1, val = 0.19820583619410428
passenger-carry, t = 55, b = 161, origin = 1, dest = 0, val = 0.10635049570221908
passenger-carry, t = 55, b = 217, origin = 0, dest = 1, val = 0.5377091887823474
passenger-carry, t = 55, b = 217, origin = 0, dest = 2, val = 0.3121932688089919
passenger-carry, t = 55, b = 221, origin = 1, dest = 0, val = 0.1058497642729987
passenger-carry, t = 55, b = 225, origin = 0, dest = 1, val = 0.22840665575247762
passenger-carry, t = 55, b = 225, origin = 0, dest = 2, val = 0.4154869665601275
passenger-carry, t = 55, b = 247, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 55, b = 255, origin = 1, dest = 0, val = 0.22312705032108154
passenger-carry, t = 55, b = 255, origin = 1, dest = 1, val = 0.1746000405094379
passenger-carry, t = 55, b = 257, origin = 1, dest = 0, val = 0.2606507683892864
passenger-carry, t = 55, b = 257, origin = 1, dest = 1, val = 0.20309223273780064
passenger-carry, t = 55, b = 261, origin = 2, dest = 2, val = 0.13106985069107163
passenger-carry, t = 55, b = 263, origin = 2, dest = 2, val = 0.27330589405676536
passenger-carry, t = 56, b = 137, origin = 1, dest = 1, val = 0.17974229924786578
passenger-carry, t = 56, b = 151, origin = 1, dest = 1, val = 0.19820583619410428
passenger-carry, t = 56, b = 151, origin = 2, dest = 2, val = 0.10705128869845984
passenger-carry, t = 56, b = 215, origin = 1, dest = 0, val = 0.2444444444444337
passenger-carry, t = 56, b = 215, origin = 1, dest = 1, val = 0.2595358721878415
passenger-carry, t = 56, b = 217, origin = 0, dest = 0, val = 0.15306712625430188
passenger-carry, t = 56, b = 221, origin = 1, dest = 1, val = 0.2764244736151948
passenger-carry, t = 56, b = 225, origin = 2, dest = 2, val = 0.11835004896124632
passenger-carry, t = 56, b = 227, origin = 0, dest = 0, val = 0.12975876693789778
passenger-carry, t = 56, b = 227, origin = 2, dest = 2, val = 0.11655828915605111
passenger-carry, t = 56, b = 229, origin = 0, dest = 0, val = 0.1796122665144725
passenger-carry, t = 56, b = 231, origin = 0, dest = 0, val = 0.21970257679199423
passenger-carry, t = 56, b = 243, origin = 2, dest = 0, val = 0.13576634212926486
passenger-carry, t = 56, b = 245, origin = 1, dest = 3, val = 0.1514997520046841
passenger-carry, t = 56, b = 253, origin = 1, dest = 3, val = 0.1746000405094379
passenger-carry, t = 56, b = 255, origin = 1, dest = 3, val = 0.1814599905460138
passenger-carry, t = 56, b = 255, origin = 2, dest = 0, val = 0.10867810231516661
passenger-carry, t = 56, b = 257, origin = 1, dest = 1, val = 0.3041204857068955
passenger-carry, t = 56, b = 257, origin = 1, dest = 3, val = 0.18848083761845552
passenger-carry, t = 56, b = 259, origin = 2, dest = 0, val = 0.18433895277428491
passenger-carry, t = 56, b = 261, origin = 2, dest = 0, val = 0.19832702986590206
passenger-carry, t = 56, b = 263, origin = 1, dest = 1, val = 0.3053196070386224
passenger-carry, t = 56, b = 263, origin = 2, dest = 2, val = 0.20251808609362698
passenger-carry, t = 57, b = 133, origin = 0, dest = 1, val = 0.11330042107766738
passenger-carry, t = 57, b = 135, origin = 1, dest = 2, val = 0.17974229924786578
passenger-carry, t = 57, b = 149, origin = 1, dest = 0, val = 0.19820583619410428
passenger-carry, t = 57, b = 149, origin = 2, dest = 1, val = 0.10705128869845984
passenger-carry, t = 57, b = 161, origin = 0, dest = 0, val = 0.10262854243144867
passenger-carry, t = 57, b = 213, origin = 1, dest = 2, val = 0.17463481915408993
passenger-carry, t = 57, b = 219, origin = 1, dest = 0, val = 0.1771693382304158
passenger-carry, t = 57, b = 223, origin = 0, dest = 1, val = 0.1796122665144725
passenger-carry, t = 57, b = 223, origin = 2, dest = 1, val = 0.11835004896124632
passenger-carry, t = 57, b = 225, origin = 0, dest = 1, val = 0.1955551558201893
passenger-carry, t = 57, b = 225, origin = 2, dest = 1, val = 0.11655828915605111
passenger-carry, t = 57, b = 229, origin = 0, dest = 1, val = 0.3152613304123707
passenger-carry, t = 57, b = 255, origin = 1, dest = 0, val = 0.21203019083745994
passenger-carry, t = 57, b = 261, origin = 1, dest = 0, val = 0.13000966743943104
passenger-carry, t = 57, b = 261, origin = 1, dest = 2, val = 0.17530993959918606
passenger-carry, t = 57, b = 261, origin = 2, dest = 1, val = 0.20251808609362698
passenger-carry, t = 58, b = 121, origin = 0, dest = 1, val = 0.11143766602952879
passenger-carry, t = 58, b = 129, origin = 2, dest = 0, val = 0.17974229924786578
passenger-carry, t = 58, b = 143, origin = 1, dest = 0, val = 0.10705128869845984
passenger-carry, t = 58, b = 155, origin = 0, dest = 1, val = 0.10262854243144867
passenger-carry, t = 58, b = 195, origin = 0, dest = 1, val = 0.165050407663743
passenger-carry, t = 58, b = 207, origin = 2, dest = 0, val = 0.17463481915408993
passenger-carry, t = 58, b = 217, origin = 1, dest = 1, val = 0.11835004896124632
passenger-carry, t = 58, b = 219, origin = 1, dest = 1, val = 0.11655828915605111
passenger-carry, t = 58, b = 223, origin = 0, dest = 1, val = 0.12102616110898316
passenger-carry, t = 58, b = 231, origin = 0, dest = 1, val = 0.21974490535533836
passenger-carry, t = 58, b = 231, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 58, b = 239, origin = 1, dest = 0, val = 0.1746000405094379
passenger-carry, t = 58, b = 241, origin = 1, dest = 0, val = 0.1814599905460138
passenger-carry, t = 58, b = 243, origin = 1, dest = 1, val = 0.18848083761845552
passenger-carry, t = 58, b = 255, origin = 1, dest = 0, val = 0.20251808609362698
passenger-carry, t = 58, b = 255, origin = 2, dest = 0, val = 0.17530993959918606
passenger-carry, t = 59, b = 77, origin = 2, dest = 2, val = 0.12222222222222003
passenger-carry, t = 59, b = 101, origin = 2, dest = 2, val = 0.11030448285986838
passenger-carry, t = 59, b = 129, origin = 0, dest = 1, val = 0.10635049570221908
passenger-carry, t = 59, b = 133, origin = 0, dest = 1, val = 0.17589176391210806
passenger-carry, t = 59, b = 179, origin = 2, dest = 0, val = 0.1968421795845186
passenger-carry, t = 59, b = 179, origin = 2, dest = 2, val = 0.11535108922447329
passenger-carry, t = 59, b = 181, origin = 1, dest = 0, val = 0.24879226483092823
passenger-carry, t = 59, b = 181, origin = 1, dest = 1, val = 0.2889169239514192
passenger-carry, t = 59, b = 187, origin = 2, dest = 0, val = 0.4878736119401543
passenger-carry, t = 59, b = 187, origin = 2, dest = 2, val = 0.17341524944748998
passenger-carry, t = 59, b = 189, origin = 0, dest = 1, val = 0.1058497642729987
passenger-carry, t = 59, b = 189, origin = 1, dest = 1, val = 0.1412516934527196
passenger-carry, t = 59, b = 193, origin = 2, dest = 0, val = 0.16172436322255143
passenger-carry, t = 59, b = 215, origin = 1, dest = 1, val = 0.11835004896124632
passenger-carry, t = 59, b = 217, origin = 1, dest = 0, val = 0.11655828915605111
passenger-carry, t = 59, b = 223, origin = 0, dest = 1, val = 0.22312705032108154
passenger-carry, t = 59, b = 225, origin = 0, dest = 1, val = 0.2606507683892864
passenger-carry, t = 59, b = 229, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 59, b = 241, origin = 1, dest = 0, val = 0.18848083761845552
passenger-carry, t = 60, b = 75, origin = 2, dest = 2, val = 0.12222222222222003
passenger-carry, t = 60, b = 171, origin = 3, dest = 3, val = 0.183242484033169
passenger-carry, t = 60, b = 177, origin = 2, dest = 2, val = 0.11535108922447329
passenger-carry, t = 60, b = 179, origin = 1, dest = 2, val = 0.2889169239514192
passenger-carry, t = 60, b = 183, origin = 0, dest = 0, val = 0.2444444444444337
passenger-carry, t = 60, b = 187, origin = 1, dest = 2, val = 0.1412516934527196
passenger-carry, t = 60, b = 193, origin = 1, dest = 2, val = 0.13092203626625526
passenger-carry, t = 60, b = 213, origin = 1, dest = 2, val = 0.11835004896124632
passenger-carry, t = 60, b = 225, origin = 0, dest = 0, val = 0.18433895277428491
passenger-carry, t = 60, b = 227, origin = 0, dest = 0, val = 0.19832702986590206
passenger-carry, t = 60, b = 227, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 61, b = 73, origin = 2, dest = 2, val = 0.12222222222222003
passenger-carry, t = 61, b = 97, origin = 1, dest = 2, val = 0.11330042107766738
passenger-carry, t = 61, b = 169, origin = 3, dest = 3, val = 0.183242484033169
passenger-carry, t = 61, b = 173, origin = 2, dest = 0, val = 0.2889169239514192
passenger-carry, t = 61, b = 175, origin = 2, dest = 0, val = 0.11535108922447329
passenger-carry, t = 61, b = 177, origin = 0, dest = 0, val = 0.17050083766818755
passenger-carry, t = 61, b = 181, origin = 2, dest = 0, val = 0.1412516934527196
passenger-carry, t = 61, b = 187, origin = 1, dest = 1, val = 0.1796122665144725
passenger-carry, t = 61, b = 187, origin = 2, dest = 0, val = 0.15506945723807194
passenger-carry, t = 61, b = 189, origin = 1, dest = 2, val = 0.1955551558201893
passenger-carry, t = 61, b = 191, origin = 2, dest = 0, val = 0.3628678886619844
passenger-carry, t = 61, b = 193, origin = 1, dest = 2, val = 0.3152613304123707
passenger-carry, t = 61, b = 207, origin = 2, dest = 0, val = 0.11835004896124632
passenger-carry, t = 61, b = 219, origin = 0, dest = 0, val = 0.18433895277428491
passenger-carry, t = 61, b = 221, origin = 0, dest = 0, val = 0.19832702986590206
passenger-carry, t = 61, b = 223, origin = 0, dest = 0, val = 0.13882255813917652
passenger-carry, t = 61, b = 225, origin = 1, dest = 2, val = 0.1514997520046841
passenger-carry, t = 61, b = 249, origin = 2, dest = 0, val = 0.11030448285986838
passenger-carry, t = 62, b = 71, origin = 2, dest = 2, val = 0.12222222222222003
passenger-carry, t = 62, b = 85, origin = 1, dest = 1, val = 0.11143766602952879
passenger-carry, t = 62, b = 91, origin = 2, dest = 2, val = 0.11330042107766738
passenger-carry, t = 62, b = 119, origin = 1, dest = 0, val = 0.10262854243144867
passenger-carry, t = 62, b = 159, origin = 1, dest = 1, val = 0.165050407663743
passenger-carry, t = 62, b = 167, origin = 3, dest = 3, val = 0.183242484033169
passenger-carry, t = 62, b = 183, origin = 2, dest = 2, val = 0.1955551558201893
passenger-carry, t = 62, b = 185, origin = 1, dest = 0, val = 0.1796122665144725
passenger-carry, t = 62, b = 187, origin = 2, dest = 2, val = 0.3152613304123707
passenger-carry, t = 62, b = 195, origin = 1, dest = 1, val = 0.1549598906331537
passenger-carry, t = 62, b = 219, origin = 2, dest = 2, val = 0.1514997520046841
passenger-carry, t = 63, b = 69, origin = 2, dest = 1, val = 0.12222222222222003
passenger-carry, t = 63, b = 83, origin = 1, dest = 1, val = 0.11143766602952879
passenger-carry, t = 63, b = 89, origin = 2, dest = 1, val = 0.11330042107766738
passenger-carry, t = 63, b = 93, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 63, b = 97, origin = 1, dest = 1, val = 0.17589176391210806
passenger-carry, t = 63, b = 145, origin = 0, dest = 0, val = 0.14317891842185723
passenger-carry, t = 63, b = 149, origin = 0, dest = 0, val = 0.20310574276160992
passenger-carry, t = 63, b = 153, origin = 0, dest = 0, val = 0.17858824322134786
passenger-carry, t = 63, b = 153, origin = 1, dest = 1, val = 0.1058497642729987
passenger-carry, t = 63, b = 157, origin = 1, dest = 1, val = 0.165050407663743
passenger-carry, t = 63, b = 181, origin = 2, dest = 1, val = 0.1955551558201893
passenger-carry, t = 63, b = 185, origin = 0, dest = 0, val = 0.11655828915605111
passenger-carry, t = 63, b = 185, origin = 2, dest = 1, val = 0.3152613304123707
passenger-carry, t = 63, b = 187, origin = 1, dest = 1, val = 0.22312705032108154
passenger-carry, t = 63, b = 189, origin = 1, dest = 1, val = 0.2606507683892864
passenger-carry, t = 63, b = 193, origin = 1, dest = 1, val = 0.1549598906331537
passenger-carry, t = 63, b = 217, origin = 2, dest = 2, val = 0.1514997520046841
passenger-carry, t = 64, b = 63, origin = 1, dest = 1, val = 0.12222222222222003
passenger-carry, t = 64, b = 81, origin = 1, dest = 1, val = 0.11143766602952879
passenger-carry, t = 64, b = 83, origin = 1, dest = 1, val = 0.11330042107766738
passenger-carry, t = 64, b = 91, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 64, b = 95, origin = 1, dest = 1, val = 0.17589176391210806
passenger-carry, t = 64, b = 139, origin = 0, dest = 3, val = 0.14317891842185723
passenger-carry, t = 64, b = 143, origin = 0, dest = 2, val = 0.13674007701790633
passenger-carry, t = 64, b = 151, origin = 1, dest = 0, val = 0.1058497642729987
passenger-carry, t = 64, b = 155, origin = 1, dest = 0, val = 0.165050407663743
passenger-carry, t = 64, b = 157, origin = 1, dest = 1, val = 0.183242484033169
passenger-carry, t = 64, b = 171, origin = 2, dest = 2, val = 0.13576634212926486
passenger-carry, t = 64, b = 175, origin = 1, dest = 0, val = 0.10725256361100372
passenger-carry, t = 64, b = 179, origin = 0, dest = 2, val = 0.11655828915605111
passenger-carry, t = 64, b = 179, origin = 1, dest = 0, val = 0.23177793523095802
passenger-carry, t = 64, b = 183, origin = 2, dest = 2, val = 0.10867810231516661
passenger-carry, t = 64, b = 185, origin = 1, dest = 0, val = 0.11880773031947987
passenger-carry, t = 64, b = 185, origin = 1, dest = 1, val = 0.10431932000160167
passenger-carry, t = 64, b = 187, origin = 1, dest = 0, val = 0.11137189473850179
passenger-carry, t = 64, b = 191, origin = 1, dest = 0, val = 0.12378928511350235
passenger-carry, t = 64, b = 215, origin = 2, dest = 2, val = 0.1514997520046841
passenger-carry, t = 65, b = 61, origin = 1, dest = 3, val = 0.12222222222222003
passenger-carry, t = 65, b = 79, origin = 1, dest = 3, val = 0.11143766602952879
passenger-carry, t = 65, b = 81, origin = 1, dest = 1, val = 0.31150625727177167
passenger-carry, t = 65, b = 89, origin = 1, dest = 3, val = 0.10635049570221908
passenger-carry, t = 65, b = 93, origin = 1, dest = 1, val = 0.1066601613995788
passenger-carry, t = 65, b = 151, origin = 1, dest = 3, val = 0.1771693382304158
passenger-carry, t = 65, b = 155, origin = 1, dest = 3, val = 0.183242484033169
passenger-carry, t = 65, b = 183, origin = 1, dest = 0, val = 0.10431932000160167
passenger-carry, t = 66, b = 55, origin = 3, dest = 3, val = 0.12222222222222003
passenger-carry, t = 66, b = 59, origin = 1, dest = 2, val = 0.2765683035216278
passenger-carry, t = 66, b = 73, origin = 3, dest = 3, val = 0.11143766602952879
passenger-carry, t = 66, b = 75, origin = 1, dest = 2, val = 0.10705128869845984
passenger-carry, t = 66, b = 79, origin = 1, dest = 2, val = 0.31150625727177167
passenger-carry, t = 66, b = 83, origin = 3, dest = 3, val = 0.10635049570221908
passenger-carry, t = 66, b = 91, origin = 1, dest = 3, val = 0.1066601613995788
passenger-carry, t = 66, b = 135, origin = 1, dest = 3, val = 0.17050083766818752
passenger-carry, t = 66, b = 137, origin = 1, dest = 0, val = 0.10661357103601068
passenger-carry, t = 66, b = 139, origin = 0, dest = 0, val = 0.19490421025893961
passenger-carry, t = 66, b = 141, origin = 0, dest = 0, val = 0.11535108922447329
passenger-carry, t = 66, b = 145, origin = 3, dest = 3, val = 0.1771693382304158
passenger-carry, t = 66, b = 147, origin = 0, dest = 0, val = 0.1412516934527196
passenger-carry, t = 66, b = 149, origin = 3, dest = 3, val = 0.183242484033169
passenger-carry, t = 66, b = 153, origin = 0, dest = 3, val = 0.15506945723807194
passenger-carry, t = 66, b = 157, origin = 0, dest = 2, val = 0.28781572889495977
passenger-carry, t = 66, b = 163, origin = 1, dest = 3, val = 0.13576634212926486
passenger-carry, t = 66, b = 171, origin = 1, dest = 3, val = 0.1746000405094379
passenger-carry, t = 66, b = 173, origin = 0, dest = 0, val = 0.11835004896124632
passenger-carry, t = 66, b = 173, origin = 1, dest = 3, val = 0.24812665721269164
passenger-carry, t = 66, b = 177, origin = 1, dest = 3, val = 0.20597119496607175
passenger-carry, t = 66, b = 179, origin = 1, dest = 2, val = 0.29041732473535786
passenger-carry, t = 66, b = 181, origin = 1, dest = 2, val = 0.11056904273647658
passenger-carry, t = 66, b = 185, origin = 1, dest = 3, val = 0.2363545056486422
passenger-carry, t = 66, b = 187, origin = 1, dest = 0, val = 0.16723767786848842
passenger-carry, t = 66, b = 207, origin = 1, dest = 2, val = 0.1514997520046841
passenger-carry, t = 66, b = 215, origin = 0, dest = 0, val = 0.11030448285986838
passenger-carry, t = 67, b = 87, origin = 0, dest = 0, val = 0.10262854243144867
passenger-carry, t = 67, b = 117, origin = 1, dest = 2, val = 0.3092853687188064
passenger-carry, t = 67, b = 123, origin = 1, dest = 2, val = 0.10231068844795993
passenger-carry, t = 67, b = 133, origin = 0, dest = 1, val = 0.19490421025893961
passenger-carry, t = 67, b = 135, origin = 0, dest = 1, val = 0.11535108922447329
passenger-carry, t = 67, b = 141, origin = 0, dest = 0, val = 0.1412516934527196
passenger-carry, t = 67, b = 153, origin = 0, dest = 0, val = 0.1796122665144725
passenger-carry, t = 67, b = 167, origin = 0, dest = 1, val = 0.11835004896124632
passenger-carry, t = 67, b = 173, origin = 1, dest = 3, val = 0.18848083761845552
passenger-carry, t = 67, b = 209, origin = 0, dest = 1, val = 0.11030448285986838
passenger-carry, t = 68, b = 45, origin = 1, dest = 3, val = 0.12222222222222003
passenger-carry, t = 68, b = 47, origin = 1, dest = 2, val = 0.2765683035216278
passenger-carry, t = 68, b = 63, origin = 1, dest = 3, val = 0.13664221536266657
passenger-carry, t = 68, b = 67, origin = 1, dest = 2, val = 0.31150625727177167
passenger-carry, t = 68, b = 73, origin = 1, dest = 3, val = 0.10635049570221908
passenger-carry, t = 68, b = 77, origin = 1, dest = 2, val = 0.1066601613995788
passenger-carry, t = 68, b = 81, origin = 0, dest = 0, val = 0.10262854243144867
passenger-carry, t = 68, b = 105, origin = 2, dest = 0, val = 0.13674007701790633
passenger-carry, t = 68, b = 111, origin = 2, dest = 0, val = 0.3092853687188064
passenger-carry, t = 68, b = 117, origin = 2, dest = 0, val = 0.10231068844795993
passenger-carry, t = 68, b = 121, origin = 1, dest = 2, val = 0.17050083766818752
passenger-carry, t = 68, b = 135, origin = 0, dest = 0, val = 0.1412516934527196
passenger-carry, t = 68, b = 135, origin = 1, dest = 2, val = 0.1771693382304158
passenger-carry, t = 68, b = 139, origin = 1, dest = 3, val = 0.183242484033169
passenger-carry, t = 68, b = 141, origin = 2, dest = 0, val = 0.11655828915605111
passenger-carry, t = 68, b = 147, origin = 0, dest = 0, val = 0.1796122665144725
passenger-carry, t = 68, b = 149, origin = 1, dest = 2, val = 0.13576634212926486
passenger-carry, t = 68, b = 157, origin = 1, dest = 2, val = 0.1746000405094379
passenger-carry, t = 68, b = 159, origin = 1, dest = 3, val = 0.24812665721269164
passenger-carry, t = 68, b = 163, origin = 1, dest = 2, val = 0.20597119496607175
passenger-carry, t = 68, b = 167, origin = 1, dest = 2, val = 0.29041732473535786
passenger-carry, t = 68, b = 169, origin = 1, dest = 2, val = 0.11056904273647658
passenger-carry, t = 68, b = 171, origin = 1, dest = 2, val = 0.2363545056486422
passenger-carry, t = 68, b = 195, origin = 1, dest = 2, val = 0.1514997520046841
passenger-carry, t = 69, b = 41, origin = 2, dest = 2, val = 0.17533532306996152
passenger-carry, t = 69, b = 61, origin = 2, dest = 2, val = 0.31150625727177167
passenger-carry, t = 69, b = 71, origin = 2, dest = 2, val = 0.1066601613995788
passenger-carry, t = 69, b = 75, origin = 0, dest = 1, val = 0.10262854243144867
passenger-carry, t = 69, b = 89, origin = 1, dest = 2, val = 0.14317891842185723
passenger-carry, t = 69, b = 119, origin = 0, dest = 2, val = 0.1058497642729987
passenger-carry, t = 69, b = 123, origin = 0, dest = 1, val = 0.165050407663743
passenger-carry, t = 69, b = 129, origin = 0, dest = 2, val = 0.16733453140750532
passenger-carry, t = 69, b = 129, origin = 2, dest = 0, val = 0.1771693382304158
passenger-carry, t = 69, b = 141, origin = 0, dest = 0, val = 0.15951689209390027
passenger-carry, t = 69, b = 143, origin = 0, dest = 1, val = 0.10725256361100372
passenger-carry, t = 69, b = 147, origin = 0, dest = 2, val = 0.1428557698821809
passenger-carry, t = 69, b = 151, origin = 2, dest = 0, val = 0.1746000405094379
passenger-carry, t = 69, b = 153, origin = 0, dest = 1, val = 0.11880773031947987
passenger-carry, t = 69, b = 155, origin = 0, dest = 0, val = 0.11137189473850179
passenger-carry, t = 69, b = 159, origin = 0, dest = 0, val = 0.12378928511350235
passenger-carry, t = 69, b = 159, origin = 1, dest = 2, val = 0.18848083761845552
passenger-carry, t = 69, b = 161, origin = 2, dest = 0, val = 0.22375065806868816
passenger-carry, t = 69, b = 163, origin = 2, dest = 0, val = 0.11056904273647658
passenger-carry, t = 70, b = 31, origin = 1, dest = 2, val = 0.12222222222222003
passenger-carry, t = 70, b = 35, origin = 1, dest = 1, val = 0.10123298045166627
passenger-carry, t = 70, b = 39, origin = 2, dest = 0, val = 0.17533532306996152
passenger-carry, t = 70, b = 49, origin = 1, dest = 2, val = 0.13664221536266657
passenger-carry, t = 70, b = 59, origin = 1, dest = 1, val = 0.10635049570221908
passenger-carry, t = 70, b = 59, origin = 2, dest = 0, val = 0.31150625727177167
passenger-carry, t = 70, b = 69, origin = 2, dest = 0, val = 0.1066601613995788
passenger-carry, t = 70, b = 125, origin = 1, dest = 1, val = 0.183242484033169
passenger-carry, t = 70, b = 135, origin = 0, dest = 0, val = 0.21323795891275704
passenger-carry, t = 70, b = 137, origin = 1, dest = 1, val = 0.13576634212926486
passenger-carry, t = 70, b = 145, origin = 1, dest = 1, val = 0.24812665721269164
passenger-carry, t = 70, b = 149, origin = 0, dest = 2, val = 0.11137189473850179
passenger-carry, t = 70, b = 151, origin = 0, dest = 2, val = 0.10431932000160167
passenger-carry, t = 70, b = 151, origin = 1, dest = 1, val = 0.20597119496607175
passenger-carry, t = 70, b = 153, origin = 0, dest = 2, val = 0.20640149209760916
passenger-carry, t = 70, b = 159, origin = 1, dest = 1, val = 0.2363545056486422
passenger-carry, t = 70, b = 183, origin = 1, dest = 1, val = 0.1514997520046841
passenger-carry, t = 71, b = 25, origin = 2, dest = 2, val = 0.12222222222222003
passenger-carry, t = 71, b = 33, origin = 1, dest = 0, val = 0.10123298045166627
passenger-carry, t = 71, b = 43, origin = 2, dest = 2, val = 0.13664221536266657
passenger-carry, t = 71, b = 57, origin = 1, dest = 0, val = 0.10635049570221908
passenger-carry, t = 71, b = 77, origin = 1, dest = 1, val = 0.14317891842185723
passenger-carry, t = 71, b = 93, origin = 1, dest = 2, val = 0.15949375306665117
passenger-carry, t = 71, b = 97, origin = 1, dest = 1, val = 0.19490421025893961
passenger-carry, t = 71, b = 99, origin = 1, dest = 2, val = 0.11535108922447329
passenger-carry, t = 71, b = 103, origin = 1, dest = 2, val = 0.1030734360141584
passenger-carry, t = 71, b = 105, origin = 0, dest = 2, val = 0.10661357103601068
passenger-carry, t = 71, b = 113, origin = 1, dest = 0, val = 0.11665077962861858
passenger-carry, t = 71, b = 113, origin = 1, dest = 2, val = 0.23040208206539725
passenger-carry, t = 71, b = 123, origin = 1, dest = 2, val = 0.183242484033169
passenger-carry, t = 71, b = 129, origin = 0, dest = 3, val = 0.21323795891275704
passenger-carry, t = 71, b = 131, origin = 1, dest = 1, val = 0.12843404566012115
passenger-carry, t = 71, b = 135, origin = 1, dest = 2, val = 0.13576634212926486
passenger-carry, t = 71, b = 143, origin = 1, dest = 1, val = 0.1655406363694168
passenger-carry, t = 71, b = 147, origin = 1, dest = 2, val = 0.18848083761845552
passenger-carry, t = 71, b = 149, origin = 1, dest = 2, val = 0.20597119496607175
passenger-carry, t = 71, b = 155, origin = 0, dest = 2, val = 0.16723767786848842
passenger-carry, t = 71, b = 157, origin = 1, dest = 2, val = 0.2363545056486422
passenger-carry, t = 71, b = 173, origin = 1, dest = 2, val = 0.1788571633921941
